Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Kevin McHale*\mchalke01,1981,1993,F-C,6-10,210,December 19 1957,University of Minnesota
Maurice McHartley\mcharma01,1968,1970,G-F,6-3,185,August 1 1942,North Carolina Agricultural and Technical State University
Jim McIlvaine\mcilvji01,1995,2001,C,7-1,240,July 30 1972,Marquette University
Jeff McInnis\mcinnje01,1997,2008,G,6-4,190,October 22 1974,University of North Carolina
Kenny McIntosh\mcintke01,1972,1975,F,6-7,225,January 21 1949,Eastern Michigan University
Bob McIntyre\mcintbo01,1968,1970,F,6-6,215,January 23 1944,St. John's University
Jerry McKee\mckeeje01,1970,1970,G,6-3,190,August 4 1946,Ohio University
Kevin McKenna\mckenke01,1982,1988,G-F,6-5,195,January 8 1959,Creighton University
Forrest McKenzie\mckenfo01,1987,1987,F,6-7,200,February 16 1963,Loyola Marymount University
Stan McKenzie\mckenst01,1968,1974,F-G,6-5,195,October 6 1944,New York University
Derrick McKey\mckeyde01,1988,2002,F-C,6-9,205,October 10 1966,University of Alabama
Aaron McKie\mckieaa01,1995,2007,G,6-5,209,October 2 1972,Temple University
Billy McKinney\mckinbi01,1979,1986,G,6-0,160,June 5 1955,Northwestern University
Bones McKinney\mckinbo01,1947,1952,F-C,6-6,185,January 1 1919,University of North Carolina
Carlton McKinney\mckinca01,1990,1992,G,6-4,190,October 21 1964,University of Tulsa Southern Methodist University
Trey McKinney-Jones\mckintr01,2018,2018,G,6-5,214,August 27 1990,University of Miami
Alfonzo McKinnie\mckinal01,2018,2019,F,6-8,215,September 17 1992,University of Wisconsin-Green Bay
Ben McLemore\mclembe01,2014,2019,G,6-5,201,February 11 1993,University of Kansas
McCoy McLemore\mclemmc01,1965,1972,F-C,6-7,230,April 3 1942,Drake University
George McLeod\mcleoge01,1953,1953,F,6-5,200,January 3 1931,Texas Christian University
Keith McLeod\mcleoke01,2004,2007,G,6-2,188,November 5 1979,Bowling Green State University
Roshown McLeod\mcleoro01,1999,2001,F,6-8,221,November 17 1975,St. John's University Duke University
Jack McMahon\mcmahja01,1953,1960,G,6-1,185,December 3 1928,St. John's University
Nate McMillan\mcmilna01,1987,1998,G-F,6-5,195,August 3 1964,North Carolina State University
Tom McMillen\mcmilto01,1976,1986,F-C,6-11,215,May 26 1952,University of Maryland
Jim McMillian\mcmilji01,1971,1979,F,6-5,215,March 11 1948,Columbia University
Shellie McMillon\mcmilsh01,1959,1962,F,6-5,205,March 11 1936,Bradley University
Mal McMullen\mcmulma01,1950,1951,F-C,6-5,210,August 23 1927,Xavier University
Chet McNabb\mcnabch01,1948,1948,F,6-2,200,September 19 1920,Arizona State University
Mark McNamara\mcnamma01,1983,1991,C-F,6-11,235,June 8 1959,Santa Clara University University of California
Joe McNamee\mcnamjo01,1951,1952,F-C,6-6,210,September 24 1926,University of San Francisco
Jerel McNeal\mcneaje01,2015,2015,G,6-3,200,June 1 1987,Marquette University
Chris McNealy\mcneach01,1986,1988,F,6-7,210,July 15 1961,San Jose State University
Bob McNeill\mcneibo01,1961,1962,G,6-1,170,October 22 1938,Saint Joseph's University
Larry McNeill\mcneila01,1974,1979,F-C,6-9,195,January 31 1951,Marquette University
Carl McNulty\mcnulca01,1955,1955,G,6-3,185,February 14 1930,Purdue University
Paul McPherson\mcphepa01,2001,2001,G,6-4,210,July 3 1978,DePaul University
Roy McPipe\mcpipro01,1975,1975,G,6-3,205,May 5 1950,Montana State University Billings
Cozell McQueen\mcqueco01,1987,1987,F,6-11,235,January 18 1962,North Carolina State University
Jordan McRae\mcraejo01,2016,2019,G,6-5,179,March 28 1991,University of Tennessee
Thales McReynolds\mcreyth01,1966,1966,G,6-3,185,June 8 1943,Miles College
Josh McRoberts\mcrobjo01,2008,2018,F,6-10,240,February 28 1987,Duke University
Eric McWilliams\mcwiler01,1973,1973,F,6-8,200,April 18 1950,California State University Long Beach
George Mearns\mearnge01,1947,1948,F,6-3,175,April 18 1922,University of Rhode Island
Stanislav Medvedenko\medvest01,2001,2007,F,6-10,250,April 4 1979,
Darnell Mee\meeda01,1994,1995,G,6-5,175,February 11 1971,Western Kentucky University
Jodie Meeks\meeksjo01,2010,2019,G,6-4,210,August 21 1987,University of Kentucky
Cliff Meely\meelycl01,1972,1976,F-C,6-8,215,July 10 1947,University of Colorado
Scott Meents\meentsc01,1990,1991,F,6-10,225,January 4 1964,University of Illinois at Urbana-Champaign
Dick Mehen\mehendi01,1950,1952,F-C,6-5,195,May 20 1922,University of Tennessee
Monk Meineke\meinemo01,1953,1958,F-C,6-7,208,October 30 1930,University of Dayton
Carl Meinhold\meinhca01,1948,1949,G-F,6-2,185,March 29 1926,Long Island University
Salah Mejri\mejrisa01,2016,2019,C,7-2,235,June 15 1986,
Gal Mekel\mekelga01,2014,2015,G,6-3,191,March 4 1988,Wichita State University
Bill Melchionni\melchbi01,1967,1976,G,6-1,165,October 19 1944,Villanova University
Gary Melchionni\melchga01,1974,1975,G,6-2,185,January 19 1951,Duke University
Fab Melo\melofa01,2013,2013,C,7-0,255,June 20 1990,Syracuse University
De'Anthony Melton\meltode01,2019,2019,G,6-4,200,May 28 1998,University of Southern California
Ed Melvin\melvied01,1947,1947,G,5-9,170,February 13 1916,Duquesne University
Dean Meminger\meminde01,1972,1977,G,6-0,175,May 13 1948,Marquette University
Chuck Mencel\mencech01,1956,1957,G,6-0,168,April 21 1933,University of Minnesota
John Mengelt\mengejo01,1972,1981,G,6-2,195,October 16 1949,Auburn University
Ken Menke\menkeke01,1950,1950,G,6-0,168,October 2 1922,University of Illinois at Urbana-Champaign
Pops Mensah-Bonsu\mensapo01,2007,2011,F,6-9,240,September 7 1983,George Washington University
Dewitt Menyard\menyade01,1968,1968,C,6-10,210,May 24 1944,University of Utah
Ron Mercer\mercero01,1998,2005,G-F,6-7,210,May 18 1976,University of Kentucky
Joe Meriweather\meriwjo01,1976,1985,C-F,6-10,215,October 26 1953,Southern Illinois University
Porter Meriwether\meriwpo01,1963,1963,G,6-2,180,March 16 1940,Tennessee State University
Tom Meschery\meschto01,1962,1971,F,6-6,215,October 26 1938,Saint Mary's College of California
Chimezie Metu\metuch01,2019,2019,F,6-10,225,March 22 1997,University of Southern California
Bill Meyer\meyerbi01,1968,1968,G,6-3,195,August 30 1943,Hiram College
Loren Meyer\meyerlo01,1996,1999,C,6-10,257,December 30 1972,Iowa State University
Dave Meyers\meyerda01,1976,1980,F-C,6-8,215,April 21 1953,University of California Los Angeles
Stan Miasek\miasest01,1947,1953,C-F,6-5,210,September 19 1923,
Larry Micheaux\michela01,1984,1985,F,6-9,220,March 24 1960,University of Houston
Jordan Mickey\mickejo01,2016,2018,F,6-8,235,July 9 1994,Louisiana State University
Khris Middleton\middlkh01,2013,2019,F-G,6-8,222,August 12 1991,Texas A&M University
Red Mihalik\mihalre01,1947,1947,G,6-0,180,September 22 1916,
Chris Mihm\mihmch01,2001,2009,C,7-0,265,July 16 1979,University of Texas at Austin
Ed Mikan\mikaned01,1949,1954,C-F,6-8,230,October 20 1925,DePaul University
George Mikan*\mikange01,1949,1956,C,6-10,245,June 18 1924,DePaul University
Larry Mikan\mikanla01,1971,1971,F,6-7,210,April 8 1948,University of Minnesota
Vern Mikkelsen*\mikkeve01,1950,1959,F-C,6-7,230,October 21 1928,Hamline University
Al Miksis\miksial01,1950,1950,C,6-7,210,February 2 1928,Western Illinois University
Aaron Miles\milesaa01,2006,2006,G,6-1,175,April 13 1983,University of Kansas
C.J. Miles\milescj01,2006,2019,G-F,6-6,220,March 18 1987,
Darius Miles\milesda01,2001,2009,F,6-9,210,October 9 1981,
Eddie Miles\milesed01,1964,1972,G-F,6-4,195,July 5 1940,Seattle University
Marko Milic\milicma01,1998,1999,G-F,6-6,235,May 7 1977,
Darko Milicic\milicda01,2004,2013,F-C,7-0,250,June 20 1985,
Nat Militzok\militna01,1947,1947,F,6-3,195,May 3 1923,Cornell University
Andre Miller\millean02,2000,2016,G,6-3,200,March 19 1976,University of Utah
Anthony Miller\millean01,1995,2005,F,6-9,225,October 22 1971,Michigan State University
Bill Miller\millebi01,1949,1949,F,6-3,190,November 24 1924,University of North Carolina
Bob Miller\millebo01,1984,1984,F,6-10,230,July 9 1956,University of Cincinnati
Brad Miller\millebr01,1999,2012,C,6-11,244,April 12 1976,Purdue University
Darius Miller\milleda01,2013,2019,F,6-8,225,March 21 1990,University of Kentucky
Dick Miller\milledi01,1981,1981,F,6-6,215,April 26 1958,University of Toledo
Eddie Miller\milleed01,1953,1954,C-F,6-8,225,June 18 1931,Syracuse University
Harry Miller\milleha01,1947,1947,C-F,6-4,230,July 28 1923,University of North Carolina
Jay Miller\milleja01,1968,1971,F,6-5,205,July 19 1943,University of Notre Dame
Larry Miller\millela01,1969,1975,G-F,6-4,190,April 4 1946,University of North Carolina
Malcolm Miller\millema01,2018,2019,F,6-7,210,March 6 1993,College of the Holy Cross
Mike Miller\millemi01,2001,2017,F-G,6-8,218,February 19 1980,University of Florida
Oliver Miller\milleol01,1993,2004,C,6-9,280,April 6 1970,University of Arkansas
Quincy Miller\millequ01,2013,2015,F,6-9,210,November 18 1992,Baylor University
Reggie Miller*\millere01,1988,2005,G-F,6-7,185,August 24 1965,University of California Los Angeles
Walt Miller\millewa01,1947,1947,F,6-2,190,July 30 1915,Duquesne University
Chris Mills\millsch01,1994,2003,F,6-6,215,January 25 1970,University of Kentucky University of Arizona
John Mills\millsjo01,1947,1947,C-F,6-8,203,September 7 1919,Western Kentucky University
Patty Mills\millspa02,2010,2019,G,6-0,180,August 11 1988,Saint Mary's College of California
Terry Mills\millste01,1991,2001,F,6-10,230,December 21 1967,University of Michigan
Elijah Millsap\millsel01,2015,2017,G-F,6-6,225,August 12 1987,University of Louisiana at Lafayette University of Alabama at Birmingham
Paul Millsap\millspa01,2007,2019,F,6-8,246,February 10 1985,Louisiana Tech University
Shake Milton\miltosh01,2019,2019,G,6-6,207,September 26 1996,Southern Methodist University
Harold Miner\minerha01,1993,1996,G,6-5,210,May 5 1971,University of Southern California
Yao Ming*\mingya01,2003,2011,C,7-6,310,September 12 1980,
Dirk Minniefield\minnidi01,1986,1988,G,6-3,180,January 17 1961,University of Kentucky
Dave Minor\minorda01,1952,1953,G-F,6-2,185,February 23 1922,University of California Los Angeles
Greg Minor\minorgr01,1995,1999,G-F,6-6,210,September 18 1971,University of Louisville
Mark Minor\minorma01,1973,1973,F,6-6,215,May 14 1950,Ohio State University
Nikola Mirotic\mirotni01,2015,2019,F,6-10,250,February 11 1991,
Wat Misaka\misakwa01,1948,1948,G,5-7,150,December 21 1923,University of Utah
Jason Miskiri\miskija01,2000,2000,G,6-2,175,August 19 1975,George Mason University
Donovan Mitchell\mitchdo01,2018,2019,G,6-3,215,September 7 1996,University of Louisville
Leland Mitchell\mitchle01,1968,1968,G,6-4,210,February 22 1941,Mississippi State University
Mike Mitchell\mitchmi01,1979,1988,F,6-7,215,January 1 1956,Auburn University
Murray Mitchell\mitchmu01,1950,1950,C,6-6,,March 19 1923,Sam Houston State University
Sam Mitchell\mitchsa01,1990,2002,F,6-6,210,September 2 1963,Mercer University
Todd Mitchell\mitchto01,1989,1989,F,6-7,205,July 26 1966,Purdue University
Tony Mitchell\mitchto03,2014,2014,F,6-6,216,August 7 1989,University of Alabama
Tony Mitchell\mitchto02,2014,2014,F,6-8,235,April 7 1992,University of North Texas
Naz Mitrou-Long\mitrona01,2018,2019,G,6-4,218,August 3 1993,Iowa State University
Steve Mix\mixst01,1970,1983,F,6-7,215,December 30 1947,University of Toledo
Bill Mlkvy\mlkvybi01,1953,1953,F,6-4,190,January 19 1931,Temple University
Cuttino Mobley\moblecu01,1999,2009,G,6-4,190,September 1 1975,University of Rhode Island
Eric Mobley\mobleer01,1995,1997,C,6-11,235,February 1 1970,University of Pittsburgh
Doug Moe\moedo01,1968,1972,F-G,6-5,215,September 21 1938,University of North Carolina
Larry Moffett\moffela01,1978,1978,F,6-8,210,November 5 1954,University of Nevada Las Vegas
Leo Mogus\mogusle01,1947,1951,F-C,6-4,190,April 13 1921,Youngstown State University
Nazr Mohammed\mohamna01,1999,2016,C,6-10,221,September 5 1977,University of Kentucky
Jerome Moiso\moisoje01,2001,2005,F-C,6-10,235,June 15 1978,University of California Los Angeles
Paul Mokeski\mokespa01,1980,1991,C-F,7-0,250,January 3 1957,University of Kansas
Jack Molinas\molinja01,1954,1954,F,6-6,200,October 31 1931,Columbia University
Wayne Molis\moliswa01,1967,1968,F,6-8,230,April 17 1943,Lewis University
Sidney Moncrief*\moncrsi01,1980,1991,G,6-3,180,September 21 1957,University of Arkansas
Eric Money\moneyer01,1975,1980,G,6-0,170,February 6 1955,University of Arizona
Sergei Monia\moniase01,2006,2006,F,6-8,220,April 15 1983,
Malik Monk\monkma01,2018,2019,G,6-3,200,February 4 1998,University of Kentucky
Earl Monroe*\monroea01,1968,1980,G,6-3,185,November 21 1944,Winston-Salem State University
Greg Monroe\monrogr01,2011,2019,C-F,6-11,265,June 4 1990,Georgetown University
Rodney Monroe\monroro01,1992,1992,G,6-3,185,April 16 1968,North Carolina State University
Luis Montero\montelu01,2016,2018,G,6-7,185,April 6 1993,Westchester CC
Howie Montgomery\montgho01,1963,1963,F,6-5,220,August 22 1940,University of Texas-Pan American
Eric Montross\montrer01,1995,2002,C,7-0,270,September 23 1971,University of North Carolina
Jamario Moon\moonja01,2008,2012,F,6-8,205,June 13 1980,Meridian Community College
Jim Mooney\mooneji01,1953,1953,F,6-5,215,July 8 1930,Villanova University
Andre Moore\moorean01,1988,1988,F,6-9,215,July 2 1964,Loyola University of Chicago
Ben Moore\moorebe01,2018,2018,F,6-8,220,May 13 1995,Southern Methodist University
E'Twaun Moore\mooreet01,2012,2019,G-F,6-4,191,February 25 1989,Purdue University
Gene Moore\moorege01,1969,1975,C-F,6-9,225,July 29 1945,Saint Louis University
Jackie Moore\mooreja01,1955,1957,F,6-5,180,September 24 1932,La Salle University
Johnny Moore\moorejo01,1981,1990,G,6-1,175,March 3 1958,University of Texas at Austin
Larry Moore\moorela01,1968,1968,F,6-7,215,,
Lowes Moore\moorelo01,1981,1983,G,6-1,170,May 5 1957,West Virginia University
Mikki Moore\mooremi01,1999,2012,C-F,6-11,225,November 4 1975,University of Nebraska
Otto Moore\mooreot01,1969,1977,C-F,6-11,205,August 27 1946,University of Texas-Pan American
Richard Moore\mooreri01,1968,1968,G,6-2,190,,Hiram Scott College
Ron Moore\moorero01,1988,1988,C,7-0,260,January 16 1962,Salem International University West Virginia State University
Tracy Moore\mooretr01,1992,1997,G-F,6-4,200,December 28 1965,University of Tulsa
Eric Moreland\moreler01,2015,2019,F-C,6-10,238,December 24 1991,Oregon State University
Jackie Moreland\morelja01,1961,1970,F-G,6-7,215,March 11 1938,Louisiana Tech University
Guy Morgan\morgagu01,1983,1983,G,6-8,205,August 23 1960,Wake Forest University
Rex Morgan\morgare01,1971,1972,G,6-5,190,October 27 1948,Jacksonville University
Elmore Morgenthaler\morgeel01,1947,1949,C,6-9,230,August 3 1922,New Mexico Institute of Mining and Technology
Darren Morningstar\mornida01,1994,1994,C,6-10,235,April 22 1969,United States Naval Academy University of Pittsburgh
Chris Morris\morrich01,1989,1999,F,6-8,210,January 20 1966,Auburn University
Darius Morris\morrida01,2012,2015,G,6-4,190,January 3 1991,University of Michigan
Isaiah Morris\morriis01,1993,1993,F,6-8,229,April 2 1969,University of Arkansas
Jaylen Morris\morrija01,2018,2019,G,6-5,185,September 19 1995,Molloy
Marcus Morris\morrima03,2012,2019,F,6-9,235,September 2 1989,University of Kansas
Markieff Morris\morrima02,2012,2019,F,6-10,245,September 2 1989,University of Kansas
Max Morris\morrima01,1950,1950,F-C,6-2,195,March 14 1925,Northwestern University
Monte Morris\morrimo01,2018,2019,G,6-3,175,June 27 1995,Iowa State University
Randolph Morris\morrira01,2007,2010,C,6-10,266,January 2 1986,University of Kentucky
Terence Morris\morrite01,2002,2006,F,6-9,221,January 11 1979,University of Maryland
Adam Morrison\morriad01,2007,2010,F,6-8,205,July 19 1984,Gonzaga University
John Morrison\morrijo01,1968,1968,G,6-2,190,May 2 1945,Canisius College
Mike Morrison\morrimi01,1990,1990,G,6-4,195,August 16 1967,Loyola College in Maryland
Red Morrison\morrire01,1955,1958,F-C,6-8,220,April 26 1932,University of Idaho
Anthony Morrow\morroan01,2009,2017,G,6-5,210,September 27 1985,Georgia Institute of Technology
Dwayne Morton\mortodw01,1995,1995,F,6-7,195,August 8 1971,University of Louisville
John Morton\mortojo01,1990,1992,G,6-3,180,May 18 1967,Seton Hall University
Richard Morton\mortori01,1989,1989,G,6-3,190,February 2 1966,California State University Fullerton
Glenn Mosley\moslegl01,1978,1979,F,6-8,195,December 26 1955,Seton Hall University
Perry Moss\mosspe01,1986,1987,G,6-2,185,November 11 1958,Northeastern University
Lawrence Moten\motenla01,1996,1998,G,6-5,185,March 25 1972,Syracuse University
Donatas Motiejunas\motiedo01,2013,2019,F-C,7-0,222,September 20 1990,
Johnathan Motley\motlejo01,2018,2019,F,6-10,230,May 4 1995,Baylor University
Hanno Mottola\mottoha01,2001,2002,C,6-11,247,September 9 1976,University of Utah
Arnett Moultrie\moultar01,2013,2014,F,6-11,249,November 18 1990,University of Texas at El Paso Mississippi State University
Rick Mount\mountri01,1971,1975,G,6-3,175,January 5 1947,Purdue University
Alonzo Mourning*\mournal01,1993,2008,C,6-10,240,February 8 1970,Georgetown University
Timofey Mozgov\mozgoti01,2011,2018,C,7-1,275,July 16 1986,
Chuck Mrazovich\mrazoch01,1951,1951,F,6-5,185,February 26 1924,Eastern Kentucky University
Emmanuel Mudiay\mudiaem01,2016,2019,G,6-5,200,March 5 1996,
Erwin Mueller\mueller01,1967,1974,C-F,6-8,230,March 12 1944,University of San Francisco
Shabazz Muhammad\muhamsh01,2014,2018,F-G,6-6,223,November 13 1992,University of California Los Angeles
Joe Mullaney\mullajo01,1950,1950,G,6-0,165,November 17 1924,College of the Holy Cross
Bob Mullens\mullebo01,1947,1947,G,6-1,175,November 1 1922,Fordham University
Byron Mullens\mulleby01,2010,2014,C,7-0,275,February 14 1989,Ohio State University
Chris Mullin*\mullich01,1986,2001,F-G,6-6,200,July 30 1963,St. John's University
Jeff Mullins\mullije01,1965,1976,G-F,6-4,190,March 18 1942,Duke University
Todd Mundt\mundtto01,1996,1996,C,7-0,250,May 17 1970,University of Memphis Delta State University
Xavier Munford\munfoxa02,2016,2018,G,6-2,180,June 1 1992,University of Rhode Island
Chris Munk\munkch01,1991,1991,F,6-9,225,August 5 1967,University of Southern California
George Munroe\munroge01,1947,1948,G,5-11,170,January 5 1922,Dartmouth College
Eric Murdock\murdoer01,1992,2000,G,6-1,190,June 14 1968,Providence College
